checkpoint,constraint_repr,slack_weight,couple_rows,arm,variant,active_constraints,dataset,episodes,construct_no_aug,construct_aug,construct_sol_infeasible,construct_ins_infeasible,masked_no_aug,masked_aug,masked_sol_infeasible,masked_ins_infeasible
results/pomo100/train_pomo_soft_attr/20260905_193429train_attr/epoch-100.pt,attr,0.0,True,pomo_soft_attr,CVRP_Ldecl,route_limit,vrpbltw50_uniform.pkl,128,13.3076,13.9483,99.944,93.75,12.8996,11.423,0.0,0.0
results/pomo100/train_pomo_soft_attr/20260905_193429train_attr/epoch-100.pt,attr,0.0,True,pomo_soft_attr,VRPB_Ldecl,backhaul+route_limit,vrpbltw50_uniform.pkl,128,13.8528,12.3431,98.599,48.438,11.5535,10.3639,0.0,0.0
results/pomo100/train_pomo_soft_attr/20260905_193429train_attr/epoch-100.pt,attr,0.0,True,pomo_soft_attr,VRPTW_Ldecl,route_limit+time_window,vrpbltw50_uniform.pkl,128,15.9284,15.2328,43.711,0.0,15.9181,15.2323,0.0,0.0
results/pomo100/train_pomo_soft_attr/20260905_193429train_attr/epoch-100.pt,attr,0.0,True,pomo_soft_attr,VRPBTW_Ldecl,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,128,16.4379,15.7683,54.766,0.0,16.5487,15.7639,0.0,0.0
results/pomo100/train_pomo_soft_interface/20260905_193509train_interface/epoch-100.pt,interface,0.0,True,pomo_soft_interface,CVRP_Ldecl,route_limit,vrpbltw50_uniform.pkl,128,11.8974,11.0008,60.852,0.0,11.5432,10.9266,0.0,0.0
results/pomo100/train_pomo_soft_interface/20260905_193509train_interface/epoch-100.pt,interface,0.0,True,pomo_soft_interface,VRPB_Ldecl,backhaul+route_limit,vrpbltw50_uniform.pkl,128,10.6328,9.8438,51.472,0.0,10.5141,9.8046,0.0,0.0
results/pomo100/train_pomo_soft_interface/20260905_193509train_interface/epoch-100.pt,interface,0.0,True,pomo_soft_interface,VRPTW_Ldecl,route_limit+time_window,vrpbltw50_uniform.pkl,128,15.8244,15.2555,3.086,0.0,15.6391,15.1415,0.0,0.0
results/pomo100/train_pomo_soft_interface/20260905_193509train_interface/epoch-100.pt,interface,0.0,True,pomo_soft_interface,VRPBTW_Ldecl,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,128,16.4972,15.8349,4.18,0.0,16.2439,15.7059,0.0,0.0
