checkpoint,constraint_repr,slack_weight,couple_rows,arm,variant,active_constraints,dataset,episodes,construct_no_aug,construct_aug,construct_sol_infeasible,construct_ins_infeasible,masked_no_aug,masked_aug,masked_sol_infeasible,masked_ins_infeasible,improve_no_aug,improve_aug,improve_sol_infeasible,improve_ins_infeasible
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,CVRP,,vrpbltw50_uniform.pkl,1000,22.5229,18.0335,0.0,0.0,21.5932,17.518,0.0,0.0,21.6756,17.5821,0.0,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPB,backhaul,vrpbltw50_uniform.pkl,1000,23.563,18.9384,0.188,0.0,22.667,18.4254,0.0,0.0,23.4302,18.8315,0.175,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPL,route_limit,vrpbltw50_uniform.pkl,1000,14.8344,13.0881,0.725,0.0,14.4503,12.9281,0.0,0.0,14.7733,13.067,0.663,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPTW,time_window,vrpbltw50_uniform.pkl,1000,20.0737,18.4972,0.0,0.0,19.2169,17.8175,0.0,0.0,19.856,18.2996,0.0,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,1000,13.773,11.1353,0.825,0.0,13.1565,10.9496,0.0,0.0,13.6664,11.0987,0.713,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,1000,21.2895,19.5102,3.038,0.0,20.2199,18.6262,0.0,0.0,21.2394,19.4504,2.813,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,1000,17.4656,16.5707,0.763,0.0,17.2954,16.4564,0.0,0.0,17.4048,16.5117,0.325,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,18.4337,17.3605,1.95,0.0,18.2171,17.2477,0.0,0.0,18.3893,17.3322,1.625,0.0
