2026/09/10 12:23:30.299, 0, 10
2026/09/10 12:23:30.429, 0, 17
2026/09/10 12:23:30.574, 0, 0
2026/09/10 12:23:30.711, 0, 0
2026/09/10 12:23:30.841, 0, 0
2026/09/10 12:23:30.970, 0, 0
2026/09/10 12:23:31.099, 0, 0
2026/09/10 12:23:31.227, 0, 0
2026/09/10 12:23:31.355, 0, 0
2026/09/10 12:23:31.484, 0, 0
2026/09/10 12:23:31.612, 0, 0
2026/09/10 12:23:31.740, 0, 0
2026/09/10 12:23:31.873, 0, 0
2026/09/10 12:23:32.004, 0, 0
2026/09/10 12:23:32.134, 0, 0
2026/09/10 12:23:32.265, 0, 0
2026/09/10 12:23:32.396, 0, 0
2026/09/10 12:23:32.526, 0, 0
2026/09/10 12:23:32.658, 0, 0
2026/09/10 12:23:32.790, 0, 0
2026/09/10 12:23:32.921, 0, 0
2026/09/10 12:23:33.051, 0, 0
2026/09/10 12:23:33.182, 0, 0
2026/09/10 12:23:33.312, 0, 0
2026/09/10 12:23:33.443, 0, 0
2026/09/10 12:23:33.574, 0, 0
2026/09/10 12:23:33.705, 0, 0
2026/09/10 12:23:33.835, 0, 0
2026/09/10 12:23:33.965, 0, 0
2026/09/10 12:23:34.095, 0, 0
2026/09/10 12:23:34.226, 0, 0
2026/09/10 12:23:34.357, 0, 0
2026/09/10 12:23:34.488, 0, 0
2026/09/10 12:23:34.619, 0, 0
2026/09/10 12:23:34.750, 0, 0
2026/09/10 12:23:34.881, 0, 0
2026/09/10 12:23:35.011, 0, 0
2026/09/10 12:23:35.142, 0, 0
2026/09/10 12:23:35.273, 0, 0
2026/09/10 12:23:35.404, 0, 0
2026/09/10 12:23:35.534, 0, 0
2026/09/10 12:23:35.665, 0, 0
2026/09/10 12:23:35.799, 0, 0
2026/09/10 12:23:35.930, 0, 0
2026/09/10 12:23:36.060, 0, 0
2026/09/10 12:23:36.190, 0, 0
2026/09/10 12:23:36.321, 0, 0
