2026/09/10 12:01:13.757, 0, 0
2026/09/10 12:01:14.060, 0, 0
2026/09/10 12:01:14.303, 0, 0
2026/09/10 12:01:14.535, 0, 0
2026/09/10 12:01:14.766, 0, 0
2026/09/10 12:01:14.998, 0, 0
2026/09/10 12:01:15.230, 0, 0
2026/09/10 12:01:15.462, 0, 0
2026/09/10 12:01:15.694, 0, 0
2026/09/10 12:01:15.927, 0, 0
2026/09/10 12:01:16.159, 0, 0
2026/09/10 12:01:16.391, 0, 0
2026/09/10 12:01:16.623, 0, 0
2026/09/10 12:01:16.856, 0, 0
2026/09/10 12:01:17.087, 0, 0
2026/09/10 12:01:17.319, 0, 0
2026/09/10 12:01:17.553, 0, 0
2026/09/10 12:01:17.788, 0, 0
2026/09/10 12:01:18.020, 0, 0
2026/09/10 12:01:18.252, 0, 0
2026/09/10 12:01:18.484, 0, 0
2026/09/10 12:01:18.716, 0, 0
2026/09/10 12:01:18.948, 0, 0
2026/09/10 12:01:19.180, 0, 0
2026/09/10 12:01:19.412, 0, 0
2026/09/10 12:01:19.642, 0, 0
2026/09/10 12:01:19.873, 0, 0
2026/09/10 12:01:20.111, 0, 0
2026/09/10 12:01:20.338, 0, 0
2026/09/10 12:01:20.568, 0, 0
2026/09/10 12:01:20.799, 0, 0
2026/09/10 12:01:21.036, 2, 0
2026/09/10 12:01:21.274, 507, 3
2026/09/10 12:01:21.503, 507, 6
2026/09/10 12:01:21.731, 507, 0
2026/09/10 12:01:21.961, 507, 0
2026/09/10 12:01:22.189, 537, 0
2026/09/10 12:01:22.416, 537, 0
2026/09/10 12:01:22.646, 537, 0
2026/09/10 12:01:22.874, 537, 0
2026/09/10 12:01:23.102, 537, 1
2026/09/10 12:01:23.331, 765, 1
2026/09/10 12:01:23.560, 813, 6
2026/09/10 12:01:23.789, 3489, 8
2026/09/10 12:01:24.018, 6365, 47
2026/09/10 12:01:24.247, 8165, 36
2026/09/10 12:01:24.476, 9031, 28
2026/09/10 12:01:24.706, 9433, 27
2026/09/10 12:01:24.936, 9459, 17
2026/09/10 12:01:25.166, 9651, 42
2026/09/10 12:01:25.397, 9821, 57
2026/09/10 12:01:25.626, 9821, 39
2026/09/10 12:01:25.854, 9821, 43
2026/09/10 12:01:26.083, 9821, 31
2026/09/10 12:01:26.312, 9829, 29
2026/09/10 12:01:26.541, 9829, 43
2026/09/10 12:01:26.770, 9829, 51
2026/09/10 12:01:26.999, 9829, 47
2026/09/10 12:01:27.228, 9829, 40
2026/09/10 12:01:27.457, 9829, 34
2026/09/10 12:01:27.686, 9829, 31
2026/09/10 12:01:27.914, 9829, 51
2026/09/10 12:01:28.143, 9829, 47
2026/09/10 12:01:28.372, 9829, 45
2026/09/10 12:01:28.601, 9829, 38
2026/09/10 12:01:28.829, 9829, 32
2026/09/10 12:01:29.058, 9829, 28
2026/09/10 12:01:29.288, 9829, 60
2026/09/10 12:01:29.517, 9829, 39
2026/09/10 12:01:29.746, 9829, 42
2026/09/10 12:01:29.974, 9829, 36
2026/09/10 12:01:30.203, 9829, 30
2026/09/10 12:01:30.431, 9829, 30
2026/09/10 12:01:30.661, 9829, 47
2026/09/10 12:01:30.890, 9829, 45
2026/09/10 12:01:31.118, 9829, 38
2026/09/10 12:01:31.347, 9829, 32
2026/09/10 12:01:31.577, 9829, 29
2026/09/10 12:01:31.806, 9829, 32
2026/09/10 12:01:32.036, 9829, 53
2026/09/10 12:01:32.266, 9829, 44
2026/09/10 12:01:32.495, 9829, 43
2026/09/10 12:01:32.725, 9829, 31
2026/09/10 12:01:32.954, 9829, 28
2026/09/10 12:01:33.182, 9829, 38
2026/09/10 12:01:33.411, 9829, 61
2026/09/10 12:01:33.640, 9829, 38
2026/09/10 12:01:33.869, 9829, 41
2026/09/10 12:01:34.098, 9829, 35
2026/09/10 12:01:34.327, 9829, 29
2026/09/10 12:01:34.557, 9829, 43
2026/09/10 12:01:34.788, 9829, 51
2026/09/10 12:01:35.017, 9829, 46
2026/09/10 12:01:35.246, 9829, 39
2026/09/10 12:01:35.476, 9829, 33
2026/09/10 12:01:35.705, 9829, 29
2026/09/10 12:01:35.934, 9829, 56
2026/09/10 12:01:36.163, 9829, 44
2026/09/10 12:01:36.391, 9829, 44
2026/09/10 12:01:36.620, 9829, 36
2026/09/10 12:01:36.849, 9829, 31
2026/09/10 12:01:37.079, 9829, 28
2026/09/10 12:01:37.307, 9829, 41
2026/09/10 12:01:37.535, 9829, 46
2026/09/10 12:01:37.765, 9829, 40
2026/09/10 12:01:37.993, 9829, 34
2026/09/10 12:01:38.222, 9841, 29
2026/09/10 12:01:38.451, 9849, 29
2026/09/10 12:01:38.680, 9849, 42
2026/09/10 12:01:38.908, 9849, 50
2026/09/10 12:01:39.137, 9849, 40
2026/09/10 12:01:39.367, 9849, 34
2026/09/10 12:01:39.597, 9849, 30
2026/09/10 12:01:39.827, 9849, 33
2026/09/10 12:01:40.056, 9849, 56
2026/09/10 12:01:40.285, 9849, 44
2026/09/10 12:01:40.514, 9849, 43
2026/09/10 12:01:40.743, 9849, 31
2026/09/10 12:01:40.971, 9849, 29
2026/09/10 12:01:41.199, 9849, 41
2026/09/10 12:01:41.428, 9849, 52
2026/09/10 12:01:41.658, 9849, 46
2026/09/10 12:01:41.887, 9849, 40
2026/09/10 12:01:42.116, 9849, 34
2026/09/10 12:01:42.344, 9849, 30
