checkpoint,constraint_repr,slack_weight,couple_rows,arm,variant,active_constraints,dataset,episodes,construct_no_aug,construct_aug,construct_sol_infeasible,construct_ins_infeasible,masked_no_aug,masked_aug,masked_sol_infeasible,masked_ins_infeasible,improve_no_aug,improve_aug,improve_sol_infeasible,improve_ins_infeasible
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_attr/run/epoch-15.pt,attr,0.0,True,attr,CVRP,,vrpbltw50_uniform.pkl,128,26.4379,21.2,59.57,4.688,22.5914,16.8836,0.0,0.0,24.5179,19.3833,37.891,0.781
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_attr/run/epoch-15.pt,attr,0.0,True,attr,VRPB,backhaul,vrpbltw50_uniform.pkl,128,nan,nan,100.0,100.0,21.6745,17.724,0.0,0.0,nan,21.4839,99.609,96.875
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_attr/run/epoch-15.pt,attr,0.0,True,attr,VRPL,route_limit,vrpbltw50_uniform.pkl,128,26.4379,21.2,59.57,4.688,22.6579,17.0059,0.0,0.0,24.6801,19.4795,40.137,0.781
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_attr/run/epoch-15.pt,attr,0.0,True,attr,VRPTW,time_window,vrpbltw50_uniform.pkl,128,18.5408,18.4626,50.781,3.906,19.7152,18.2824,0.0,0.0,18.5787,18.4274,44.043,0.781
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_attr/run/epoch-15.pt,attr,0.0,True,attr,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,128,nan,nan,100.0,100.0,21.9768,17.9726,0.0,0.0,nan,21.7631,99.609,96.875
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_attr/run/epoch-15.pt,attr,0.0,True,attr,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,128,19.8371,19.1472,61.426,7.812,20.7968,19.1957,0.0,0.0,19.8154,19.1244,61.426,7.812
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_attr/run/epoch-15.pt,attr,0.0,True,attr,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,18.5408,18.4626,50.781,3.906,19.7152,18.2824,0.0,0.0,18.5787,18.4274,44.043,0.781
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_attr/run/epoch-15.pt,attr,0.0,True,attr,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,128,19.8371,19.1472,61.426,7.812,20.7968,19.1957,0.0,0.0,19.8154,19.1244,61.426,7.812
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface/run/epoch-15.pt,interface,0.0,True,interface,CVRP,,vrpbltw50_uniform.pkl,128,16.7408,13.605,0.0,0.0,16.1165,13.3829,0.0,0.0,16.5696,13.5915,0.0,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface/run/epoch-15.pt,interface,0.0,True,interface,VRPB,backhaul,vrpbltw50_uniform.pkl,128,17.511,13.8307,0.879,0.0,16.5506,13.4194,0.0,0.0,17.412,13.7671,0.781,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface/run/epoch-15.pt,interface,0.0,True,interface,VRPL,route_limit,vrpbltw50_uniform.pkl,128,14.8609,12.4615,0.977,0.0,14.3509,12.2824,0.0,0.0,14.7279,12.4099,0.684,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface/run/epoch-15.pt,interface,0.0,True,interface,VRPTW,time_window,vrpbltw50_uniform.pkl,128,18.2768,17.0742,0.0,0.0,17.6695,16.6036,0.0,0.0,18.1688,16.9883,0.0,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface/run/epoch-15.pt,interface,0.0,True,interface,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,128,13.9677,11.5919,0.977,0.0,13.3049,11.3037,0.0,0.0,13.8313,11.4641,0.684,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface/run/epoch-15.pt,interface,0.0,True,interface,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,128,19.5064,18.0713,1.953,0.0,18.6658,17.4676,0.0,0.0,19.4777,18.0268,1.953,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface/run/epoch-15.pt,interface,0.0,True,interface,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,17.3041,16.274,0.488,0.0,17.089,16.115,0.0,0.0,17.2508,16.1927,0.195,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface/run/epoch-15.pt,interface,0.0,True,interface,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,128,18.1894,17.0591,1.074,0.0,17.9293,16.8783,0.0,0.0,18.1471,17.0024,0.879,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface_slack0.1/run/epoch-15.pt,interface,0.1,True,interface_slack0.1,CVRP,,vrpbltw50_uniform.pkl,128,17.6223,14.601,0.0,0.0,17.4032,14.4198,0.0,0.0,17.4998,14.5393,0.0,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface_slack0.1/run/epoch-15.pt,interface,0.1,True,interface_slack0.1,VRPB,backhaul,vrpbltw50_uniform.pkl,128,18.6753,14.9268,0.0,0.0,17.8776,14.4761,0.0,0.0,18.5339,14.859,0.0,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface_slack0.1/run/epoch-15.pt,interface,0.1,True,interface_slack0.1,VRPL,route_limit,vrpbltw50_uniform.pkl,128,14.6785,12.2159,0.391,0.0,14.1936,12.0496,0.0,0.0,14.6231,12.2046,0.098,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface_slack0.1/run/epoch-15.pt,interface,0.1,True,interface_slack0.1,VRPTW,time_window,vrpbltw50_uniform.pkl,128,18.2977,17.1064,0.0,0.0,17.6858,16.6743,0.0,0.0,18.1169,16.9947,0.0,0.0
